sourceid,PT,POI,Sr,Vm,PC,Buffer,Curb ramps,Lighting,Number of lanes,On-street parking,Width of bike lane and shoulder,Width of sidewalk,services,plos,plos_e
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265929583,0,0,40,5.94,0,0.0,1.0,5.5,1.0,0.0,0.15,1.2,0.0,2.08424307710814,1.8342430771081402
265929584,0,0,60,438.74,4,1.6,2.0,6.0,1.0,1.0,0.15,3.0,0.0,1.8003490897698562,1.4253490897698562
265929585,0,0,60,671.12,0,0.0,1.0,1.0,1.0,0.0,0.3,1.5,0.0,3.757316020788563,3.507316020788563
265929586,0,0,60,724.46,0,0.0,2.0,1.0,1.0,0.0,0.3,1.0,1.0,4.099803652299513,3.7248036522995127
265929587,0,0,60,737.95,0,0.0,1.0,1.0,1.0,1.0,0.3,2.0,0.0,2.765698057692047,2.515698057692047
265929588,0,0,60,1270.61,0,0.0,1.0,1.0,1.0,0.0,0.3,3.5,0.0,4.756384087511601,4.506384087511601
265929588,0,0,60,1270.61,0,0.0,1.0,1.0,1.0,0.0,0.3,3.5,0.0,4.756384087511601,4.506384087511601
265929588,0,0,60,1270.61,0,0.0,1.0,1.0,1.0,0.0,0.3,3.5,0.0,4.756384087511601,4.506384087511601
265929588,0,0,60,1270.61,0,0.0,1.0,1.0,1.0,0.0,0.3,3.5,0.0,4.756384087511601,4.506384087511601
265929588,0,0,60,1270.61,0,0.0,1.0,1.0,1.0,0.0,0.3,3.5,0.0,4.756384087511601,4.506384087511601
265929588,0,0,60,1270.61,0,0.0,1.0,1.0,1.0,0.0,0.3,3.5,0.0,4.756384087511601,4.506384087511601
265929588,0,0,60,1270.61,0,0.0,1.0,1.0,1.0,0.0,0.3,3.5,0.0,4.756384087511601,4.506384087511601
265929588,0,0,60,1270.61,0,0.0,1.0,1.0,1.0,0.0,0.3,3.5,0.0,4.756384087511601,4.506384087511601
265929589,0,0,60,594.19,0,0.0,1.0,1.0,1.0,1.0,0.3,2.0,0.0,2.4386440576920476,2.1886440576920476
265929591,0,0,60,737.95,1,0.0,1.0,1.0,1.0,1.0,0.3,2.0,0.0,2.765698057692047,2.390698057692047
271626108,0,0,40,229.97,1,0.1,0.0,4.0,1.0,1.0,0.15,1.5,1.0,1.3520995656908887,0.9770995656908887
271626109,0,0,40,11.87,0,0.1,0.0,4.0,1.0,1.0,0.15,1.5,1.0,0.8559220656908888,0.6059220656908888
286868369,0,0,60,425.86,2,0.0,2.0,6.0,1.0,0.0,0.15,1.2,1.0,3.34844261282094,2.84844261282094
